"id","UA","name","is_culligan"
"63095349","UA-34143333-1","http://www.culliganwatertexas.com",1
"63099754","UA-34145136-1","http://www.culliganwaterindiana.com",1
"64249874","UA-34986453-1","http://www.midatlanticculligan.com",1
"65199566","UA-35684549-1","http://www.culliganbetterwater.com",1
"69023604","UA-38422744-1","http://www.culliganofchico.com/",1
"69092525","UA-38496716-1","http://www.mccardelculligan.com/",1
"70953034","UA-39865420-1","http://www.culliganlogan.com",1
"71358195","UA-40153698-1","http://www.culliganbottledwater.com",1
"72357201","UA-40889401-1","http://www.culliganslc.com",1
"73972948","UA-42068135-1","http://www.saberculligan.com",1
"74813838","UA-42695705-1","http://www.ccsalonsaustin.com",0
"75314948","UA-43032932-1","http://www.h2o4ohio.com",1
"137591772","UA-43032932-1","http://www.culligantoledo.com",1
"77755095","UA-44838084-1","http://www.culliganmoseslake.com",1
"80029839","UA-46391881-1","http://www.culliganguadaluperivervalley.com",1
"81652324","UA-47647217-1","http://www.culliganmarion.com",1
"88041881","UA-52464712-1","http://culligantulsa.com",1
"89065093","UA-53224119-1","http://culligankansascity.com",1
"91639395","UA-55156733-1","http://www.culliganvictoria.com",1
"91643270","UA-55175610-1","http://www.culligancentraltexas.com",1
"98357881","UA-60033391-1","http://www.culliganbwphoenix.com",1
"98370147","UA-60062318-1","http://www.ladwigswater.com",1
"103751965","UA-64053442-1","http://www.marling.com",0
"104224247","UA-64398734-1","http://www.brookingsculligan.com",1
"108262911","UA-67458431-1","http://daysfoundation.org",0
"114054535","UA-71838577-1","http://www.culligannc.com/",1
"114145091","UA-71909887-1","http://www.culliganwooster.com",1
"118100464","UA-74831643-1","http://goldcrossansweringservice.com/",0
"120544894","UA-76632549-1","http://www.eastonculligan.com",1
"124638661","UA-79964206-1","https://www.culligansouthwest.com",1
"125773302","UA-80879538-1","http://topekaculligan.com",1
"129300678","UA-83818252-1","http://www.culliganalbionhilldale.com",1
"129371786","UA-83874351-1","http://www.culliganfresnolindsay.com",1
"130857532","UA-85140916-1","http://www.culliganofnashville.com",1
"131449545","UA-85627032-1","http://www.texasculligan.com",1
"133556248","UA-87308104-1","http://www.sterlingwatercoolers.com",1
"135735189","UA-88745967-1","http://www.culliganromeo.com",1
"135693441","UA-88762524-1","http://www.culliganofwestbranch.com",1
"136863147","UA-89508684-1","http://www.culliganquadcities.com",1
"146129410","UA-96082849-1","https://www.utahindustrialwater.com",1
"152054574","UA-100323647-1","https://www.watercoculligan.com",1
"152035276","UA-100373166-1","https://www.culligan2014.com",1
"152649650","UA-100762760-1","https://www.culliganwaterdayton.com",1
"152995113","UA-100999436-1","https://www.culligancolumbus.com",1
"157424191","UA-104320775-1","https://www.culliganplainview.com",1
"161063909","UA-106994319-1","https://culliganwaternebraska.com",1
"161054997","UA-107005653-1","https://www.culligansalina.com",1
"161125956","UA-107064940-1","https://www.culliganlemars.com",1
"161413936","UA-107283066-1","https://www.culliganroxana.com",1
"164158951","UA-109334197-1","https://www.topekaculligan.com",1
"164150442","UA-109345773-1","https://www.culligankansascity.com",1
"166856491","UA-111598398-1","https://www.indianaculligan.com",1
"166885459","UA-111687457-1","https://www.culliganillinois.com",1
"166923580","UA-111688890-1","https://www.culliganlansing.com",1
"168480034","UA-113033220-1","https://www.culliganowosso.com",1
"170717358","UA-114920246-1","https://www.culligandodgeville.com",1
"171426086","UA-115636549-1","https://culliganwatertreatment.com",1
"172286180","UA-116395391-1","http://culliganwyanet.com",1
"172693813","UA-116771604-1","http://www.kctradeshowpro.com",0
"174482773","UA-118452698-1","https://www.culliganlakemills.com",1
"174707767","UA-118672961-1","https://culliganuppercumberland.com",1
"176372163","UA-120197350-1","https://www.culliganhoriconwatertown.com",1
"177351800","UA-121080608-1","https://www.culliganwaterwyoming.com",1
"177820852","UA-121588503-1","https://www.culligansoutheastidaho.com",1
"178899377","UA-122750850-1","https://www.palmettoindustrialwater.com",1
"179334122","UA-123223195-1","https://culliganutahvalley.com",1
"179467644","UA-123341273-1","https://www.culliganbottledwater.com",1
"179831934","UA-123744073-1","https://www.culligangulfcoast.com",1
"0","0","All culligan websites",-1
"0","0","All websites",-1
